"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies ceil(14 * 7 / 100) = ceil(0.98) = 1.","0","test_quorum_with_14_citizens_equals_1","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Quorum Calculation","Sputnik Bridge Unit Tests","",""
"Verifies that proof validation accepts fewer than 21 public signals.","61","test_public_signals_under_max_allowed","Near Citizens House","Wed Dec 17 20:57:33 UTC 2025","passed","Wed Dec 17 20:57:33 UTC 2025","Proof Validation","Verified Accounts Unit Tests","",""
"Verifies that the contract returns the correct interface version string.","50","test_interface_version","Near Citizens House","Wed Dec 17 20:57:32 UTC 2025","passed","Wed Dec 17 20:57:32 UTC 2025","Composability Interface","Verified Accounts Unit Tests","",""
"","4","should reject signature for wrong message","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > verifyNearSignature > Negative Tests","Shared Library Unit Tests","",""
"","2","accepts minimum length (2 chars)","Near Citizens House","Wed Dec 17 20:56:47 UTC 2025","passed","Wed Dec 17 20:56:47 UTC 2025","NEAR Account Validation > nearNamedAccountSchema > valid named accounts","Shared Library Unit Tests","",""
"","0","test_zk_proof_borsh_roundtrip","Near Citizens House","Wed Dec 17 20:57:36 UTC 2025","passed","Wed Dec 17 20:57:36 UTC 2025","Serialization","Verified Accounts Interface Tests","",""
"Verifies all configured account IDs are valid and non-empty after contract initialization.","51","test_invariant_all_config_accounts_valid_after_init","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Invariants","Sputnik Bridge Unit Tests","",""
"","1","should extract public key from valid ed25519: prefixed key","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > extractEd25519PublicKeyHex > Happy Path","Shared Library Unit Tests","",""
"","1","should produce different hash for different nonces","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > computeNep413Hash > Happy Path","Shared Library Unit Tests","",""
"
## Purpose
Verifies that verified accounts are NOT automatically citizens.
Being verified is a prerequisite but doesn't grant citizenship.

## Test 13.3.2 - verified_accounts_not_necessarily_citizens

## Invariant
Verification != Citizenship. User must go through add_member to become citizen.
","10906","test_verified_accounts_not_necessarily_citizens","Near Citizens House","Wed Dec 17 21:20:03 UTC 2025","passed","Wed Dec 17 21:20:14 UTC 2025","State Consistency","Sputnik Bridge Integration Tests","",""
"","65","should return error message when all RPCs fail","Near Citizens House","Wed Dec 17 20:56:45 UTC 2025","passed","Wed Dec 17 20:56:45 UTC 2025","ZK Verification > verifyStoredProofWithDetails > Negative Tests","Shared Library Unit Tests","",""
"","138","should handle concurrent verification requests","Near Citizens House","Wed Dec 17 20:56:46 UTC 2025","passed","Wed Dec 17 20:56:46 UTC 2025","ZK Verification > RPC Failover Mechanism > Edge Cases","Shared Library Unit Tests","",""
"Verifies that only the backend wallet can pause the contract and unauthorized accounts are rejected.","51","test_unauthorized_pause","Near Citizens House","Wed Dec 17 20:57:33 UTC 2025","passed","Wed Dec 17 20:57:33 UTC 2025","Pause/Unpause","Verified Accounts Unit Tests","",""
"Verifies that a single-character attestation_id is accepted.","63","test_attestation_id_single_char_allowed","Near Citizens House","Wed Dec 17 20:57:32 UTC 2025","passed","Wed Dec 17 20:57:32 UTC 2025","Input Validation","Verified Accounts Unit Tests","",""
"Verifies that batch verification returns false for all non-verified accounts.","49","test_are_accounts_verified_empty","Near Citizens House","Wed Dec 17 20:57:32 UTC 2025","passed","Wed Dec 17 20:57:32 UTC 2025","Composability Interface","Verified Accounts Unit Tests","",""
"Verifies that get_account_with_proof returns the correct verification data.","3698","test_get_verified_account_returns_data","Near Citizens House","Wed Dec 17 21:07:42 UTC 2025","passed","Wed Dec 17 21:07:46 UTC 2025","Signature Verification","Verified Accounts Integration Tests","",""
"
## Purpose
Verifies idempotent behavior when adding an existing citizen again.

## Behavior
SputnikDAO allows adding existing members (idempotent).
Two proposals are created (member + quorum update), user stays citizen.
","10957","test_add_member_already_citizen","Near Citizens House","Wed Dec 17 21:17:14 UTC 2025","passed","Wed Dec 17 21:17:25 UTC 2025","Member Addition","Sputnik Bridge Integration Tests","",""
"","5","should verify valid signature from correct signer","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > verifyNearSignature > Happy Path","Shared Library Unit Tests","",""
"Verifies unauthorized account cannot update backend wallet and receives appropriate error.","74","test_update_backend_wallet_unauthorized","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Backend Wallet Management","Sputnik Bridge Unit Tests","",""
"Verifies gas constants are within reasonable ranges for contract operations.","0","test_gas_constants_are_reasonable","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Constants","Sputnik Bridge Unit Tests","",""
"Tests boundary transition from 0 to 1 quorum.","0","test_quorum_boundary_0_to_1","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Quorum Boundaries","Sputnik Bridge Unit Tests","",""
"
## Purpose
Verifies that added member appears in the citizen role in SputnikDAO.

## Expected
is_account_in_role(""citizen"") returns true for added user.
","8394","test_member_appears_in_citizen_role","Near Citizens House","Wed Dec 17 21:17:55 UTC 2025","passed","Wed Dec 17 21:18:03 UTC 2025","Member Addition","Sputnik Bridge Integration Tests","",""
"Verifies that whitespace-only citizen_role is trimmed and rejected as empty.","49","test_initialization_whitespace_only_citizen_role_fails","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Initialization","Sputnik Bridge Unit Tests","",""
"Verifies that changing the challenge after signing invalidates the signature.","62","test_signature_wrong_challenge_rejected","Near Citizens House","Wed Dec 17 20:57:33 UTC 2025","passed","Wed Dec 17 20:57:33 UTC 2025","Signature Verification","Verified Accounts Unit Tests","",""
"Verifies that the 'all' (Everyone) role has *:Finalize permission so anyone can finalize expired proposals.","5373","test_dao_init_all_role_can_finalize","Near Citizens House","Wed Dec 17 21:19:05 UTC 2025","passed","Wed Dec 17 21:19:11 UTC 2025","DAO Integration Setup","Sputnik Bridge Integration Tests","",""
"","0","should return null for empty accountId","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > parseUserContextData > Negative Tests","Shared Library Unit Tests","",""
"Verifies that signature replay attacks are prevented. Defense-in-depth ensures both account-already-verified and signature-already-used checks catch replay attempts.","4183","test_signature_replay_rejected","Near Citizens House","Wed Dec 17 21:07:23 UTC 2025","passed","Wed Dec 17 21:07:28 UTC 2025","Security","Verified Accounts Integration Tests","",""
"
## Purpose
Verifies that storing a verification in the verified-accounts contract requires exactly
1 yoctoNEAR deposit. This is a security measure to prevent accidental calls.

## Test - store_verification_requires_one_yocto_in_verified_accounts

## Expected
Calling store_verification without 1 yoctoNEAR deposit fails with appropriate error.
","6376","test_store_verification_requires_one_yocto_in_verified_accounts","Near Citizens House","Wed Dec 17 21:16:37 UTC 2025","passed","Wed Dec 17 21:16:43 UTC 2025","Edge Cases","Sputnik Bridge Integration Tests","",""
"
## Purpose
Verifies that proposals expire after the voting period ends.

## Time-Based Test
Uses fast_forward(100 blocks) to simulate passage of time.
Vote triggers status update → Expired.
","10907","test_proposal_expires_after_period","Near Citizens House","Wed Dec 17 21:20:36 UTC 2025","passed","Wed Dec 17 21:20:47 UTC 2025","Proposal Lifecycle","Sputnik Bridge Integration Tests","",""
"","0","should handle unicode messages correctly","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > computeNep413Hash > Edge Cases","Shared Library Unit Tests","",""
"","0","should throw for invalid base58 characters","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > extractEd25519PublicKeyHex > Negative Tests","Shared Library Unit Tests","",""
"","0","should require exactly 32-byte nonce","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > computeNep413Hash > Boundary Tests","Shared Library Unit Tests","",""
"Verifies the DAO correctly tracks proposal IDs and counts.","4365","test_dao_proposal_counting","Near Citizens House","Wed Dec 17 21:09:37 UTC 2025","passed","Wed Dec 17 21:09:41 UTC 2025","DAO Sanity Tests","Sputnik Bridge Integration Tests","",""
"Verifies that special characters (-, _, .) in role name are accepted.","5392","test_init_with_special_chars_role","Near Citizens House","Wed Dec 17 21:19:32 UTC 2025","passed","Wed Dec 17 21:19:38 UTC 2025","Contract Setup","Sputnik Bridge Integration Tests","",""
"Verifies that a tampered signature fails NEP-413 verification.","65","test_invalid_signature_contents","Near Citizens House","Wed Dec 17 20:57:33 UTC 2025","passed","Wed Dec 17 20:57:33 UTC 2025","Signature Verification","Verified Accounts Unit Tests","",""
"Verifies duplicate nullifiers are rejected even for different accounts.","74","test_nullifier_reuse_rejected","Near Citizens House","Wed Dec 17 20:57:33 UTC 2025","passed","Wed Dec 17 20:57:33 UTC 2025","Store Verification","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects ZK proof with 'b' component strings exceeding 80 character maximum length.","54","test_proof_component_b_too_long","Near Citizens House","Wed Dec 17 20:57:33 UTC 2025","passed","Wed Dec 17 20:57:33 UTC 2025","Proof Validation","Verified Accounts Unit Tests","",""
"","1","should handle nonce with mixed byte values","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > computeNep413Hash > Boundary Tests","Shared Library Unit Tests","",""
"","1","should handle nonce with all 0xFF values (max byte)","Near Citizens House","Wed Dec 17 20:56:43 UTC 2025","passed","Wed Dec 17 20:56:43 UTC 2025","NEP-413 Verification > computeNep413Hash > Boundary Tests","Shared Library Unit Tests","",""
"Verifies callback rejects unverified account with appropriate error message.","49","test_callback_add_member_not_verified","Near Citizens House","Wed Dec 17 20:57:42 UTC 2025","passed","Wed Dec 17 20:57:42 UTC 2025","Callbacks","Sputnik Bridge Unit Tests","",""
