"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Upgrade test: Nullifier protection persists across V1 to V2 upgrade.","5620","test_upgrade_nullifier_protection_persists","Near Citizens House","Wed Jan 28 00:09:53 UTC 2026","passed","Wed Jan 28 00:09:59 UTC 2026","Versioning","Verified Accounts Integration Tests","",""
"Verifies that a nullifier exactly 80 characters long is accepted.","38","test_nullifier_max_length_allowed","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Input Validation","Verified Accounts Unit Tests","",""
"Verifies that pagination is capped at 100 items even when requesting more.","108701","test_pagination_limit_capped_at_100","Near Citizens House","Wed Jan 28 00:09:48 UTC 2026","passed","Wed Jan 28 00:11:37 UTC 2026","Pagination","Verified Accounts Integration Tests","",""
"Verifies that proof validation accepts fewer than 21 public signals.","35","test_public_signals_under_max_allowed","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Proof Validation","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects when signature recipient doesn't match the contract account.","68","test_recipient_mismatch","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Input Validation","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects nullifier strings exceeding 80 character maximum length.","67","test_nullifier_too_long","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Input Validation","Verified Accounts Unit Tests","",""
"Verifies that pagination returns empty when from_index is beyond existing data.","2749","test_pagination_from_index_beyond_data","Near Citizens House","Wed Jan 28 00:09:48 UTC 2026","passed","Wed Jan 28 00:09:51 UTC 2026","Pagination","Verified Accounts Integration Tests","",""
"","0","test_zk_proof_json_invalid_a_array_length_fails","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Validation","Verified Accounts Interface Tests","",""
"Verifies that a tampered signature fails NEP-413 verification.","33","test_invalid_signature_contents","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Signature Verification","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects when signature account_id doesn't match near_account_id parameter.","67","test_account_id_mismatch","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Input Validation","Verified Accounts Unit Tests","",""
"","2","accepts valid top-level fields","Logger RequestContext Type Safety","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","","VerifyContext - valid operations compile correctly","",""
"Upgrade test: After redeploying contract code, new verifications work correctly.","5144","test_upgrade_new_verifications_work","Near Citizens House","Wed Jan 28 00:09:53 UTC 2026","passed","Wed Jan 28 00:09:58 UTC 2026","Versioning","Verified Accounts Integration Tests","",""
"","0","rejects invalid domain","Analytics Event Type Safety","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","","invalid events cause type errors","",""
"Verifies that nonces shorter than 32 bytes are rejected.","28","test_invalid_nonce_length","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Signature Verification","Verified Accounts Unit Tests","",""
"Test 1.1.5: Verifies that the contract can be initialized with a subaccount as backend wallet.","3265","test_init_with_subaccount_backend","Near Citizens House","Wed Jan 28 00:09:48 UTC 2026","passed","Wed Jan 28 00:09:52 UTC 2026","Initialization","Verified Accounts Integration Tests","",""
"","0","returns correctly typed values","Logger RequestContext Type Safety","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","","get - type safety","",""
"","0","returns false for invalid accounts","Near Citizens House","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","NEAR Account Validation > isValidNearAccountId","Shared Library Unit Tests","",""
"Verifies that update_backend_wallet requires exactly 1 yoctoNEAR deposit.","4789","test_update_backend_wallet_requires_one_yocto","Near Citizens House","Wed Jan 28 00:09:48 UTC 2026","passed","Wed Jan 28 00:09:53 UTC 2026","Access Control","Verified Accounts Integration Tests","",""
"","1","accepts valid error events","Analytics Event Type Safety","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","","valid events compile correctly","",""
"Verifies that backend_wallet is always valid and non-empty after contract initialization.","36","test_invariant_backend_wallet_always_valid","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Invariants","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects ZK proof with 'c' component strings exceeding 80 character maximum length.","32","test_proof_component_c_too_long","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Proof Validation","Verified Accounts Unit Tests","",""
"Verifies contract initialization stores correct backend wallet and sets initial verified count to zero.","29","test_initialization","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Contract Initialization","Verified Accounts Unit Tests","",""
"Verifies duplicate nullifiers are rejected even for different accounts.","42","test_nullifier_reuse_rejected","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Store Verification","Verified Accounts Unit Tests","",""
"","0","rejects uppercase hex","Near Citizens House","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","NEAR Account Validation > ethImplicitAccountSchema > invalid ETH-implicit accounts","Shared Library Unit Tests","",""
"Upgrade test: Batch queries work correctly after upgrade.","6148","test_upgrade_batch_queries_work","Near Citizens House","Wed Jan 28 00:09:53 UTC 2026","passed","Wed Jan 28 00:09:59 UTC 2026","Versioning","Verified Accounts Integration Tests","",""
"Test 1.1.6: Verifies that the contract can be initialized with an implicit account (64 hex chars) as backend wallet.","2718","test_init_with_implicit_account_backend","Near Citizens House","Wed Jan 28 00:09:48 UTC 2026","passed","Wed Jan 28 00:09:51 UTC 2026","Initialization","Verified Accounts Integration Tests","",""
"","0","rejects invalid field names","Logger RequestContext Type Safety","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","","VerifyContext - invalid operations cause type errors","",""
"Verifies that only the backend wallet can pause the contract and unauthorized accounts are rejected.","39","test_unauthorized_pause","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Pause/Unpause","Verified Accounts Unit Tests","",""
"Verifies that only the current backend wallet can update the backend wallet and unauthorized accounts are rejected.","67","test_unauthorized_update_backend_wallet","Near Citizens House","Wed Jan 28 00:07:10 UTC 2026","passed","Wed Jan 28 00:07:10 UTC 2026","Backend Wallet Management","Verified Accounts Unit Tests","",""
"Verifies that store_verification requires exactly 1 yoctoNEAR deposit. This prevents accidental calls and provides a small security measure.","4330","test_store_verification_requires_one_yocto","Near Citizens House","Wed Jan 28 00:09:48 UTC 2026","passed","Wed Jan 28 00:09:53 UTC 2026","Access Control","Verified Accounts Integration Tests","",""
"","1","accepts all valid examples from NEAR spec","Near Citizens House","Wed Jan 28 00:04:43 UTC 2026","passed","Wed Jan 28 00:04:43 UTC 2026","NEAR Account Validation > nearNamedAccountSchema > valid named accounts","Shared Library Unit Tests","",""
