"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_proposal_kind_unknown_variant_deserialization_fails","Near Citizens House","Wed Dec 17 15:43:21 UTC 2025","passed","Wed Dec 17 15:43:21 UTC 2025","Validation","Sputnik DAO Interface Tests","",""
"","123","should handle maximum attestation ID (3)","Near Citizens House","Wed Dec 17 15:33:47 UTC 2025","passed","Wed Dec 17 15:33:47 UTC 2025","ZK Verification > verifyStoredProofWithDetails > Boundary Tests","Shared Library Unit Tests","",""
"","127","should handle minimum attestation ID (1)","Near Citizens House","Wed Dec 17 15:33:47 UTC 2025","passed","Wed Dec 17 15:33:47 UTC 2025","ZK Verification > verifyStoredProofWithDetails > Boundary Tests","Shared Library Unit Tests","",""
"","133","should default to attestationId=1 when not specified","Near Citizens House","Wed Dec 17 15:33:45 UTC 2025","passed","Wed Dec 17 15:33:45 UTC 2025","ZK Verification > verifyStoredProof > Edge Cases","Shared Library Unit Tests","",""
"Verifies get_info returns correct contract configuration information.","93","test_get_info","Near Citizens House","Wed Dec 17 15:41:49 UTC 2025","passed","Wed Dec 17 15:41:49 UTC 2025","Read Functions","Sputnik Bridge Unit Tests","",""
"","8","should verify valid signature from correct signer","Near Citizens House","Wed Dec 17 15:33:42 UTC 2025","passed","Wed Dec 17 15:33:42 UTC 2025","NEP-413 Verification > verifyNearSignature > Happy Path","Shared Library Unit Tests","",""
"","2","should extract public key from valid ed25519: prefixed key","Near Citizens House","Wed Dec 17 15:33:42 UTC 2025","passed","Wed Dec 17 15:33:42 UTC 2025","NEP-413 Verification > extractEd25519PublicKeyHex > Happy Path","Shared Library Unit Tests","",""
"Verifies duplicate nullifiers are rejected even for different accounts.","81","test_nullifier_reuse_rejected","Near Citizens House","Wed Dec 17 15:37:04 UTC 2025","passed","Wed Dec 17 15:37:04 UTC 2025","Store Verification","Verified Accounts Unit Tests","",""
"Verifies ceiling division across multiple boundary transitions.","0","test_quorum_ceiling_division_correctness","Near Citizens House","Wed Dec 17 15:41:49 UTC 2025","passed","Wed Dec 17 15:41:49 UTC 2025","Quorum Calculation","Sputnik Bridge Unit Tests","",""
"","0","should include signature data in correct format","Near Citizens House","Wed Dec 17 15:33:42 UTC 2025","passed","Wed Dec 17 15:33:42 UTC 2025","NEP-413 Verification > buildProofData > Positive Tests","Shared Library Unit Tests","",""
"Verifies 100 * 7 / 100 = 7.0 exactly (no ceiling needed).","0","test_quorum_with_100_citizens_equals_7","Near Citizens House","Wed Dec 17 15:41:49 UTC 2025","passed","Wed Dec 17 15:41:49 UTC 2025","Quorum Calculation","Sputnik Bridge Unit Tests","",""
"","126","should handle invalid attestation ID gracefully","Near Citizens House","Wed Dec 17 15:33:46 UTC 2025","passed","Wed Dec 17 15:33:46 UTC 2025","ZK Verification > verifyStoredProofWithDetails > Negative Tests","Shared Library Unit Tests","",""
"","0","should convert base64 nonce to array","Near Citizens House","Wed Dec 17 15:33:42 UTC 2025","passed","Wed Dec 17 15:33:42 UTC 2025","NEP-413 Verification > parseUserContextData > Positive Tests","Shared Library Unit Tests","",""
"Verifies callback extracts proposal kind and schedules act_proposal for quorum update.","54","test_callback_got_quorum_proposal","Near Citizens House","Wed Dec 17 15:41:48 UTC 2025","passed","Wed Dec 17 15:41:49 UTC 2025","Callbacks","Sputnik Bridge Unit Tests","",""
"Verifies that store_verification rejects when signature account_id doesn't match near_account_id parameter.","54","test_account_id_mismatch","Near Citizens House","Wed Dec 17 15:37:02 UTC 2025","passed","Wed Dec 17 15:37:02 UTC 2025","Input Validation","Verified Accounts Unit Tests","",""
"Verifies that get_account returns None for non-existent accounts.","54","test_get_account_empty","Near Citizens House","Wed Dec 17 15:37:02 UTC 2025","passed","Wed Dec 17 15:37:02 UTC 2025","Composability Interface","Verified Accounts Unit Tests","",""
"","4","should handle nonce with mixed byte values","Near Citizens House","Wed Dec 17 15:33:42 UTC 2025","passed","Wed Dec 17 15:33:42 UTC 2025","NEP-413 Verification > computeNep413Hash > Boundary Tests","Shared Library Unit Tests","",""
"","315","should complete within reasonable time (30s)","Near Citizens House","Wed Dec 17 15:33:48 UTC 2025","passed","Wed Dec 17 15:33:48 UTC 2025","ZK Verification > RPC Failover Mechanism > Timeout Handling","Shared Library Unit Tests","",""
"","4","should throw for short nonce (31 bytes)","Near Citizens House","Wed Dec 17 15:33:42 UTC 2025","passed","Wed Dec 17 15:33:42 UTC 2025","NEP-413 Verification > computeNep413Hash > Boundary Tests","Shared Library Unit Tests","",""
