"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
## Purpose
Verifies that whitespace-only descriptions are rejected as effectively empty.

## Input Validation
- Input: ""   \t\n   "" (whitespace only)
- Expected: Fails with ""cannot be empty"" (trimmed = empty)
","4614","test_create_proposal_whitespace_only_description","Near Citizens House","Tue Jan 06 11:29:44 UTC 2026","passed","Tue Jan 06 11:29:48 UTC 2026","Proposal Validation","Sputnik Bridge Integration Tests","",""
"Verifies unauthorized account cannot add member and receives appropriate error.","34","test_add_member_unauthorized_fails","Near Citizens House","Tue Jan 06 11:21:17 UTC 2026","passed","Tue Jan 06 11:21:18 UTC 2026","Access Control","Sputnik Bridge Unit Tests","",""
"Verifies that the backend wallet can pause and unpause the contract correctly.","3198","test_authorized_pause_unpause","Near Citizens House","Tue Jan 06 11:25:24 UTC 2026","passed","Tue Jan 06 11:25:28 UTC 2026","Access Control","Verified Accounts Integration Tests","",""
"V1 nullifier protection works correctly.","4087","test_v1_nullifier_protection","Near Citizens House","Tue Jan 06 11:25:58 UTC 2026","passed","Tue Jan 06 11:26:02 UTC 2026","Versioning","Verified Accounts Integration Tests","",""
"Verifies that callback_vote_proposal_created cannot be called externally, protected by #[private] macro. Security-critical test.","5122","test_callback_vote_proposal_created_cannot_be_called_externally","Near Citizens House","Tue Jan 06 11:29:50 UTC 2026","passed","Tue Jan 06 11:29:55 UTC 2026","Callback Security","Sputnik Bridge Integration Tests","",""
"Verifies that signatures longer than 64 bytes are rejected.","13","test_signature_too_long","Near Citizens House","Tue Jan 06 11:21:15 UTC 2026","passed","Tue Jan 06 11:21:15 UTC 2026","Signature Verification","Verified Accounts Unit Tests","",""
"Verifies that a proposal is rejected when NO votes reach the effective threshold.","41879","test_vote_proposal_rejected_at_threshold","Near Citizens House","Tue Jan 06 11:28:22 UTC 2026","passed","Tue Jan 06 11:29:04 UTC 2026","Dynamic Quorum","Sputnik Bridge Integration Tests","",""
"Verifies that the proposal_created event is emitted when a proposal is created via the bridge with correct event data.","4709","test_proposal_created_event_emitted","Near Citizens House","Tue Jan 06 11:27:28 UTC 2026","passed","Tue Jan 06 11:27:32 UTC 2026","Events","Sputnik Bridge Integration Tests","",""
"Verifies that list_verifications pagination works correctly with multiple verified accounts.","5117","test_list_verifications_pagination","Near Citizens House","Tue Jan 06 11:25:42 UTC 2026","passed","Tue Jan 06 11:25:47 UTC 2026","Signature Verification","Verified Accounts Integration Tests","",""
"","0","should produce exactly 32-byte (64 hex char) output","Near Citizens House","Tue Jan 06 11:21:01 UTC 2026","passed","Tue Jan 06 11:21:01 UTC 2026","NEP-413 Verification > extractEd25519PublicKeyHex > Boundary Tests","Shared Library Unit Tests","",""
