"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_proposal_input_borsh_roundtrip","Near Citizens House","Wed Dec 17 21:21:06 UTC 2025","passed","Wed Dec 17 21:21:06 UTC 2025","Serialization","Sputnik DAO Interface Tests","",""
"","4","should handle very long message","Near Citizens House","Wed Dec 17 21:20:11 UTC 2025","passed","Wed Dec 17 21:20:11 UTC 2025","NEP-413 Verification > computeNep413Hash > Edge Cases","Shared Library Unit Tests","",""
"","0","should handle non-numeric proof values","Near Citizens House","Wed Dec 17 21:20:15 UTC 2025","passed","Wed Dec 17 21:20:15 UTC 2025","ZK Verification > verifyStoredProofWithDetails > Negative Tests","Shared Library Unit Tests","",""
"Verifies all configured account IDs are valid and non-empty after contract initialization.","57","test_invariant_all_config_accounts_valid_after_init","Near Citizens House","Wed Dec 17 21:21:03 UTC 2025","passed","Wed Dec 17 21:21:03 UTC 2025","Invariants","Sputnik Bridge Unit Tests","",""
"","0","test_zk_proof_borsh_roundtrip","Near Citizens House","Wed Dec 17 21:20:56 UTC 2025","passed","Wed Dec 17 21:20:56 UTC 2025","Serialization","Verified Accounts Interface Tests","",""
"","0","should return null for empty string","Near Citizens House","Wed Dec 17 21:20:11 UTC 2025","passed","Wed Dec 17 21:20:11 UTC 2025","NEP-413 Verification > parseUserContextData > Boundary Tests","Shared Library Unit Tests","",""
"","110","should return false for invalid proof","Near Citizens House","Wed Dec 17 21:20:13 UTC 2025","passed","Wed Dec 17 21:20:13 UTC 2025","ZK Verification > verifyStoredProof > Negative Tests","Shared Library Unit Tests","",""
"Verifies that store_verification rejects ZK proof with any public_signal string exceeding 80 character maximum length.","53","test_public_signal_item_too_long","Near Citizens House","Wed Dec 17 21:20:53 UTC 2025","passed","Wed Dec 17 21:20:53 UTC 2025","Proof Validation","Verified Accounts Unit Tests","",""
"Verifies that creating a proposal with an empty description fails.","54","test_create_proposal_empty_description_fails","Near Citizens House","Wed Dec 17 21:21:03 UTC 2025","passed","Wed Dec 17 21:21:03 UTC 2025","Description Validation","Sputnik Bridge Unit Tests","",""
"Verifies that QuorumUpdatedEvent serializes correctly to JSON.","0","test_quorum_updated_event_serializes_correctly","Near Citizens House","Wed Dec 17 21:21:03 UTC 2025","passed","Wed Dec 17 21:21:03 UTC 2025","Events","Sputnik Bridge Unit Tests","",""
"Verifies insufficient contract balance is rejected before persisting verification.","55","test_insufficient_balance_rejected","Near Citizens House","Wed Dec 17 21:20:54 UTC 2025","passed","Wed Dec 17 21:20:54 UTC 2025","Store Verification","Verified Accounts Unit Tests","",""
"Verifies that a tampered signature fails NEP-413 verification.","67","test_invalid_signature_contents","Near Citizens House","Wed Dec 17 21:20:53 UTC 2025","passed","Wed Dec 17 21:20:53 UTC 2025","Signature Verification","Verified Accounts Unit Tests","",""
"","1","accepts all valid examples from NEAR spec","Near Citizens House","Wed Dec 17 21:20:18 UTC 2025","passed","Wed Dec 17 21:20:18 UTC 2025","NEAR Account Validation > nearNamedAccountSchema > valid named accounts","Shared Library Unit Tests","",""
