"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verifies that only the backend wallet can store verifications and unauthorized accounts are rejected.","75","test_unauthorized_write","Near Citizens House","Wed Jan 14 11:01:08 UTC 2026","passed","Wed Jan 14 11:01:08 UTC 2026","Access Control","Verified Accounts Unit Tests","",""
"Upgrade test: Admin functions work correctly after upgrade.","5094","test_upgrade_admin_functions_work","Near Citizens House","Wed Jan 14 11:01:59 UTC 2026","passed","Wed Jan 14 11:02:04 UTC 2026","Versioning","Verified Accounts Integration Tests","",""
"Verifies that proof validation accepts fewer than 21 public signals.","34","test_public_signals_under_max_allowed","Near Citizens House","Wed Jan 14 11:01:08 UTC 2026","passed","Wed Jan 14 11:01:08 UTC 2026","Proof Validation","Verified Accounts Unit Tests","",""
"Verifies that store_verification rejects nullifier strings exceeding 80 character maximum length.","28","test_nullifier_too_long","Near Citizens House","Wed Jan 14 11:01:08 UTC 2026","passed","Wed Jan 14 11:01:08 UTC 2026","Input Validation","Verified Accounts Unit Tests","",""
"Verifies that update_backend_wallet requires exactly 1 yoctoNEAR deposit.","3745","test_update_backend_wallet_requires_one_yocto","Near Citizens House","Wed Jan 14 11:01:35 UTC 2026","passed","Wed Jan 14 11:01:39 UTC 2026","Access Control","Verified Accounts Integration Tests","",""
"Verifies that all-0xFF nonce (max byte values) is accepted.","3067","test_nonce_all_max_bytes","Near Citizens House","Wed Jan 14 11:01:39 UTC 2026","passed","Wed Jan 14 11:01:42 UTC 2026","Edge Cases","Verified Accounts Integration Tests","",""
"","73","should default to attestationId=1 when not specified","Near Citizens House","Wed Jan 14 11:00:13 UTC 2026","passed","Wed Jan 14 11:00:13 UTC 2026","ZK Verification > verifyStoredProof > Edge Cases","Shared Library Unit Tests","",""
"Verifies that invalid NEAR signatures are rejected during NEP-413 verification.","33","test_invalid_signature","Near Citizens House","Wed Jan 14 11:01:08 UTC 2026","passed","Wed Jan 14 11:01:09 UTC 2026","Signature Verification","Verified Accounts Unit Tests","",""
"","66","should return detailed result with verifier address","Near Citizens House","Wed Jan 14 11:00:13 UTC 2026","passed","Wed Jan 14 11:00:13 UTC 2026","ZK Verification > verifyStoredProofWithDetails > Happy Path","Shared Library Unit Tests","",""
"","0","should work without ed25519: prefix","Near Citizens House","Wed Jan 14 11:00:12 UTC 2026","passed","Wed Jan 14 11:00:12 UTC 2026","NEP-413 Verification > extractEd25519PublicKeyHex > Positive Tests - Prefix Handling","Shared Library Unit Tests","",""
